단지번호,단지명,시구,동,원인,최소면적_㎡,최대면적_㎡,준공년월,위도,경도
9543,인정피렌체빌리지1차,용인시 처인구,고림동,c_name_var,79.28,79.28,200001.0,37.245685,127.230791
9854,예진피렌체빌리지2차,용인시 처인구,고림동,c_name_var,115.91,115.91,200104.0,37.24663,127.229136
2532,마평우성,용인시 처인구,김량장동,c_name_var,82.92,82.92,199605.0,37.23508,127.21512
25539,용인삼환나우빌,용인시 처인구,김량장동,c_name_var,109.15,109.15,200808.0,37.233434,127.194785
27051,김량장어울림,용인시 처인구,김량장동,c_name_var,112.69,113.78,200911.0,37.236494,127.196849
110816,역북푸르지오,용인시 처인구,남동,c_name_var,80.97,81.65,201711.0,37.23134,127.182672
10074,풍산햇빛마을,용인시 처인구,모현읍,c_name_var,78.61,78.61,200003.0,37.332394,127.249837
10453,효천마을신안인스빌1단지,용인시 처인구,모현읍,c_name_var,107.2,107.2,200412.0,37.337076,127.243617
10454,효천마을신안인스빌2단지,용인시 처인구,모현읍,c_name_var,107.31,107.31,200412.0,37.336466,127.245474
9200,금령마을우남퍼스트빌,용인시 처인구,삼가동,c_name_var,109.98,109.98,200311.0,37.240993,127.173674
101050,행정타운늘푸른오스카빌1단지,용인시 처인구,삼가동,c_name_var,112.69,112.69,200412.0,37.238707,127.172673
103430,행정타운두산위브2단지,용인시 처인구,삼가동,c_name_var,112.28,115.6,201311.0,37.23981,127.168096
2084,원효선경,의왕시,고천동,c_name_var,70.66,70.66,199403.0,37.345074,126.977169
115552,백운호수해링턴플레이스1단지,의왕시,내손동,c_name_var,113.27,114.32,201903.0,37.369437,127.005069
115556,백운호수해링턴플레이스2단지,의왕시,내손동,c_name_var,98.0,113.79,201903.0,37.372262,127.005074
124165,호반써밋에듀파크,하남시,당정동,c_name_var,81.44,83.56,202108.0,37.545511,127.211202
119713,미사힐즈파크푸르지오,하남시,덕풍동,c_name_var,75.55,75.55,202004.0,37.543754,127.193015
2146,덕풍서해,하남시,덕풍동,c_name_var,80.38,80.38,199604.0,37.543059,127.197336
114092,미사힐즈파크푸르지오2단지,하남시,덕풍동,c_name_var,80.67,80.67,201809.0,37.543713,127.194991
2856,더우개마을동일,하남시,덕풍동,c_name_var,106.27,106.27,199909.0,37.541348,127.219877
141066,덕소강변스타힐스,하남시,미사동,c_name_var,63.49,63.49,202601.0,37.57977,127.219896
8796,강변해태,하남시,미사동,c_name_var,81.06,81.06,199912.0,37.577791,127.220573
3941,한강우성,하남시,미사동,c_name_var,78.26,78.26,199807.0,37.577883,127.223572
10179,덕소쌍용스윗닷홈리버,하남시,미사동,c_name_var,78.12,78.12,200505.0,37.576021,127.224112
3591,덕소두산위브,하남시,미사동,c_name_var,114.38,114.38,200212.0,37.579954,127.215297
